trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
50,08:07:00,08:07:00,39,3,0,0,16.4197
50,08:18:00,08:18:00,55,4,0,0,27.2917
50,08:31:00,08:31:00,9,5,0,0,40.2500
50,08:39:00,08:39:00,71,6,0,0,46.3129
50,08:49:00,08:49:00,28,7,0,0,53.5366
50,09:19:00,09:19:00,1,8,0,0,67.6542
51,08:53:00,08:53:00,10,1,0,0,0.0000
51,09:02:00,09:02:00,2,2,0,0,5.8930
51,09:13:00,09:13:00,39,3,0,0,16.4197
51,09:24:00,09:24:00,55,4,0,0,27.2917
51,09:37:00,09:37:00,9,5,0,0,40.2500
51,09:45:00,09:45:00,71,6,0,0,46.3129
51,09:55:00,09:55:00,28,7,0,0,53.5366
51,10:25:00,10:25:00,1,8,0,0,67.6542
52,10:55:00,10:55:00,10,1,0,0,0.0000
52,11:04:00,11:04:00,2,2,0,0,5.8930
52,11:15:00,11:15:00,39,3,0,0,16.4197
52,11:30:00,11:30:00,55,4,0,0,27.2917
52,11:43:00,11:43:00,9,5,0,0,40.2500
52,11:50:00,11:50:00,71,6,0,0,46.3129
52,12:01:00,12:01:00,28,7,0,0,53.5366
52,12:31:00,12:31:00,1,8,0,0,67.6542
53,12:40:00,12:40:00,10,1,0,0,0.0000
53,12:49:00,12:49:00,2,2,0,0,5.8930
53,12:59:00,12:59:00,39,3,0,0,16.4197
53,13:10:00,13:10:00,55,4,0,0,27.2917
53,13:23:00,13:23:00,9,5,0,0,40.2500
53,13:31:00,13:31:00,71,6,0,0,46.3129
53,13:41:00,13:41:00,28,7,0,0,53.5366
53,14:11:00,14:11:00,1,8,0,0,67.6542
54,14:43:00,14:43:00,10,1,0,0,0.0000
54,14:52:00,14:52:00,2,2,0,0,5.8930
54,15:03:00,15:03:00,39,3,0,0,16.4197
54,15:14:00,15:14:00,55,4,0,0,27.2917
54,15:31:00,15:31:00,9,5,0,0,40.2500
54,15:39:00,15:39:00,71,6,0,0,46.3129
54,15:49:00,15:49:00,28,7,0,0,53.5366
54,16:19:00,16:19:00,1,8,0,0,67.6542
55,15:38:00,15:38:00,10,1,0,0,0.0000
55,15:47:00,15:47:00,2,2,0,0,5.8930
55,15:58:00,15:58:00,39,3,0,0,16.4197
55,16:09:00,16:09:00,55,4,0,0,27.2917
55,16:22:00,16:22:00,9,5,0,0,40.2500
55,16:29:00,16:29:00,71,6,0,0,46.3129
55,16:40:00,16:40:00,28,7,0,0,53.5366
55,17:10:00,17:10:00,1,8,0,0,67.6542
56,16:38:00,16:38:00,10,1,0,0,0.0000
56,16:47:00,16:47:00,2,2,0,0,5.8930
56,16:58:00,16:58:00,39,3,0,0,16.4197
56,17:09:00,17:09:00,55,4,0,0,27.2917
56,17:22:00,17:22:00,9,5,0,0,40.2500
56,17:30:00,17:30:00,71,6,0,0,46.3129
56,17:40:00,17:40:00,28,7,0,0,53.5366
56,18:10:00,18:10:00,1,8,0,0,67.6542
57,17:48:00,17:48:00,10,1,0,0,0.0000
57,17:57:00,17:57:00,2,2,0,0,5.8930
57,18:08:00,18:08:00,39,3,0,0,16.4197
57,18:19:00,18:19:00,55,4,0,0,27.2917
57,18:36:00,18:36:00,9,5,0,0,40.2500
57,18:43:00,18:43:00,71,6,0,0,46.3129
57,18:54:00,18:54:00,28,7,0,0,53.5366
57,19:24:00,19:24:00,1,8,0,0,67.6542
58,19:44:00,19:44:00,10,1,0,0,0.0000
58,19:53:00,19:53:00,2,2,0,0,5.8930
58,20:04:00,20:04:00,39,3,0,0,16.4197
58,20:15:00,20:15:00,55,4,0,0,27.2917
58,20:32:00,20:32:00,9,5,0,0,40.2500
58,20:43:00,20:43:00,71,6,0,0,46.3129
58,20:53:00,20:53:00,28,7,0,0,53.5366
58,21:24:00,21:24:00,1,8,0,0,67.6542
59,21:46:00,21:46:00,10,1,0,0,0.0000
59,21:55:00,21:55:00,2,2,0,0,5.8930
59,22:06:00,22:06:00,39,3,0,0,16.4197
59,22:17:00,22:17:00,55,4,0,0,27.2917
59,22:30:00,22:30:00,9,5,0,0,40.2500
59,22:37:00,22:37:00,71,6,0,0,46.3129
59,22:48:00,22:48:00,28,7,0,0,53.5366
59,23:18:00,23:18:00,1,8,0,0,67.6542
60,05:38:00,05:38:00,1,1,0,0,0.0000
60,06:06:00,06:06:00,28,2,0,0,13.6703
60,06:17:00,06:17:00,71,3,0,0,21.2801
60,06:25:00,06:25:00,9,4,0,0,27.4045
60,06:38:00,06:38:00,55,5,0,0,40.3629
60,06:49:00,06:49:00,39,6,0,0,51.2348
60,07:03:00,07:03:00,2,7,0,0,61.7616
60,07:17:00,07:17:00,10,8,0,0,67.6542
61,05:42:00,05:42:00,1,1,0,0,0.0000
61,06:08:00,06:08:00,28,2,0,0,13.6703
61,06:18:00,06:18:00,71,3,0,0,21.2801
61,06:25:00,06:25:00,9,4,0,0,27.4045
61,06:38:00,06:38:00,55,5,0,0,40.3629
61,06:49:00,06:49:00,39,6,0,0,51.2348
61,07:03:00,07:03:00,2,7,0,0,61.7616
61,07:17:00,07:17:00,10,8,0,0,67.6542
62,06:31:00,06:31:00,1,1,0,0,0.0000
62,06:57:00,06:57:00,28,2,0,0,13.6703
62,07:08:00,07:08:00,71,3,0,0,21.2801
62,07:15:00,07:15:00,9,4,0,0,27.4045
62,07:33:00,07:33:00,55,5,0,0,40.3629
62,07:43:00,07:43:00,39,6,0,0,51.2348
62,07:54:00,07:54:00,2,7,0,0,61.7616
62,08:08:00,08:08:00,10,8,0,0,67.6542
63,09:00:00,09:00:00,1,1,0,0,0.0000
63,09:26:00,09:26:00,28,2,0,0,13.6703
63,09:37:00,09:37:00,71,3,0,0,21.2801
63,09:47:00,09:47:00,9,4,0,0,27.4045
63,10:01:00,10:01:00,55,5,0,0,40.3629
63,10:11:00,10:11:00,39,6,0,0,51.2348
63,10:21:00,10:21:00,2,7,0,0,61.7616
63,10:35:00,10:35:00,10,8,0,0,67.6542
64,09:01:00,09:01:00,1,1,0,0,0.0000
64,09:27:00,09:27:00,28,2,0,0,13.6703
64,09:37:00,09:37:00,71,3,0,0,21.2801
